HOME_OFF_RATING,HOME_DEF_RATING,HOME_NET_RATING,HOME_EFG_PCT,HOME_TS_PCT,HOME_PACE,AWAY_OFF_RATING,AWAY_DEF_RATING,AWAY_NET_RATING,AWAY_EFG_PCT,AWAY_TS_PCT,AWAY_PACE,HOME_PTS_L10,AWAY_PTS_L10,HOME_FG_PCT_L10,AWAY_FG_PCT_L10,HOME_FG3_PCT_L10,AWAY_FG3_PCT_L10,HOME_FT_PCT_L10,AWAY_FT_PCT_L10,HOME_REB_L10,AWAY_REB_L10,HOME_AST_L10,AWAY_AST_L10,HOME_STL_L10,AWAY_STL_L10,HOME_BLK_L10,AWAY_BLK_L10,HOME_TOV_L10,AWAY_TOV_L10,HOME_REST_DAYS,AWAY_REST_DAYS,HOME_BACK_TO_BACK,AWAY_BACK_TO_BACK,DIFF_PTS_L10,DIFF_FG_PCT_L10,DIFF_FG3_PCT_L10,DIFF_FT_PCT_L10,DIFF_REB_L10,DIFF_AST_L10,DIFF_STL_L10,DIFF_BLK_L10,DIFF_TOV_L10,DIFF_REST_DAYS,DIFF_OFF_RATING,DIFF_DEF_RATING,DIFF_NET_RATING,DIFF_TS_PCT,DIFF_EFG_PCT,DIFF_PACE,DIFF_AST_PCT,DIFF_AST_TO,DIFF_AST_RATIO,DIFF_OREB_PCT,DIFF_DREB_PCT,DIFF_REB_PCT,DIFF_TM_TOV_PCT,IS_HOME
111.0,108.9,2.1,0.538,0.571,96.83,115.4,113.7,1.6,0.543,0.581,98.67,116.5,113.0,0.5085,0.479,0.32899999999999996,0.429,0.786,0.889,36.0,55.0,32.0,31.0,7.5,8.0,4.0,9.0,14.0,13.0,1,2,1,0,3.5,0.02949999999999997,-0.10000000000000003,-0.10299999999999998,-19.0,1.0,-0.5,-5.0,1.0,-1,-4.400000000000006,-4.799999999999997,0.5,-0.010000000000000009,-0.0050000000000000044,-1.8400000000000034,0.041000000000000036,-0.33000000000000007,0.5999999999999979,0.008000000000000007,-0.007000000000000006,0.0050000000000000044,0.027999999999999997,1
111.9,115.5,-3.6,0.531,0.564,98.55,113.0,108.4,4.5,0.547,0.584,96.53,128.0,137.0,0.5015000000000001,0.531,0.40149999999999997,0.429,0.8125,0.645,46.5,58.0,28.5,28.0,3.5,8.0,8.0,2.0,14.0,11.0,1,2,1,0,-9.0,-0.02949999999999997,-0.027500000000000024,0.16749999999999998,-11.5,0.5,-4.5,6.0,3.0,-1,-1.0999999999999943,7.099999999999994,-8.1,-0.020000000000000018,-0.016000000000000014,2.019999999999996,-0.03200000000000003,0.010000000000000009,-0.6999999999999993,0.03199999999999997,-0.010000000000000009,0.0020000000000000018,-0.0040000000000000036,1
112.1,109.9,2.2,0.51,0.543,96.63,112.5,109.1,3.5,0.538,0.572,95.64,99.0,87.0,0.3645,0.333,0.246,0.302,0.8634999999999999,0.923,57.0,50.0,18.0,16.0,13.0,7.0,3.0,3.0,15.0,15.0,1,2,1,0,12.0,0.03149999999999997,-0.055999999999999994,-0.05950000000000011,7.0,2.0,6.0,0.0,0.0,-1,-0.4000000000000057,0.8000000000000114,-1.2999999999999998,-0.028999999999999915,-0.028000000000000025,0.9899999999999949,-0.051999999999999935,-0.10000000000000009,-1.6999999999999993,0.069,-0.019000000000000017,0.01200000000000001,-0.0020000000000000018,1
112.7,113.2,-0.5,0.541,0.579,98.76,105.6,113.3,-7.7,0.494,0.533,98.81,111.0,88.0,0.479,0.4,0.402,0.214,0.8335,0.769,47.0,47.0,25.0,17.0,8.5,7.0,6.0,5.0,15.5,16.0,1,3,1,0,23.0,0.07899999999999996,0.18800000000000003,0.0645,0.0,8.0,1.5,1.0,-0.5,-2,7.1000000000000085,-0.09999999999999432,7.2,0.04599999999999993,0.04700000000000004,-0.04999999999999716,-0.04300000000000004,0.2100000000000002,0.6999999999999993,-0.027000000000000024,0.028000000000000025,0.014000000000000012,-0.012999999999999984,1
113.8,111.0,2.7,0.539,0.573,101.47,111.2,112.0,-0.8,0.517,0.557,98.02,124.0,104.5,0.483,0.45099999999999996,0.421,0.475,0.774,0.74,46.0,43.0,26.0,27.0,18.0,6.0,12.0,5.5,18.0,14.5,3,1,0,1,19.5,0.03200000000000003,-0.05399999999999999,0.03400000000000003,3.0,-1.0,12.0,6.5,3.5,2,2.5999999999999943,-1.0,3.5,0.015999999999999903,0.02200000000000002,3.450000000000003,-0.0040000000000000036,0.010000000000000009,0.0,-0.02200000000000002,-0.03600000000000003,-0.028000000000000025,-0.0020000000000000018,1
111.9,111.7,0.2,0.527,0.556,100.51,114.3,111.1,3.2,0.546,0.58,100.59,109.5,111.0,0.488,0.41900000000000004,0.3415,0.33199999999999996,0.6905,0.7165,41.0,46.0,28.0,22.0,9.5,7.0,2.5,4.5,14.0,11.0,1,2,1,0,-1.5,0.06899999999999995,0.009500000000000064,-0.026000000000000023,-5.0,6.0,2.5,-2.0,3.0,-1,-2.3999999999999915,0.6000000000000085,-3.0,-0.02399999999999991,-0.019000000000000017,-0.0799999999999983,0.07400000000000007,0.4099999999999999,2.1999999999999993,0.01200000000000001,-0.03600000000000003,-0.018000000000000016,-0.007000000000000006,1
107.3,116.3,-9.1,0.515,0.55,98.74,114.2,106.8,7.5,0.549,0.581,100.26,121.0,106.5,0.484,0.45099999999999996,0.343,0.34550000000000003,0.864,0.728,49.0,46.0,25.0,27.0,5.0,8.5,5.0,2.5,12.0,14.5,3,1,0,1,14.5,0.03300000000000003,-0.0025000000000000022,0.136,3.0,-2.0,-3.5,2.5,-2.5,2,-6.900000000000006,9.5,-16.6,-0.030999999999999917,-0.03400000000000003,-1.5200000000000102,-0.03200000000000003,-0.54,-2.5,0.0040000000000000036,-0.007000000000000006,-0.016000000000000014,0.016999999999999987,1
109.5,109.5,0.0,0.531,0.564,98.51,114.3,108.9,5.3,0.522,0.553,100.52,113.0,132.0,0.438,0.53,0.35,0.424,0.714,1.0,39.0,53.0,24.0,28.0,9.0,8.0,2.0,8.0,7.0,10.0,2,3,0,0,-19.0,-0.09200000000000003,-0.07400000000000001,-0.28600000000000003,-14.0,-4.0,1.0,-6.0,-3.0,-1,-4.799999999999997,0.5999999999999943,-5.3,0.010999999999999899,0.009000000000000008,-2.009999999999991,0.0020000000000000018,-0.21999999999999997,-0.1999999999999993,-0.08400000000000002,-0.020000000000000018,-0.040000000000000036,0.009000000000000008,1
109.7,110.2,-0.4,0.513,0.55,96.42,103.9,112.1,-8.1,0.503,0.538,99.71,129.5,96.5,0.493,0.40249999999999997,0.41100000000000003,0.35250000000000004,0.6165,0.825,46.5,45.0,30.5,20.5,9.5,5.5,7.0,4.5,14.0,17.0,2,2,0,0,33.0,0.09050000000000002,0.058499999999999996,-0.2084999999999999,1.5,10.0,4.0,2.5,-3.0,0,5.799999999999997,-1.8999999999999915,7.699999999999999,0.01200000000000001,0.010000000000000009,-3.289999999999992,-0.039000000000000035,0.010000000000000009,-1.0,0.04199999999999998,0.0050000000000000044,0.02200000000000002,-0.0069999999999999785,1
113.2,112.3,0.9,0.54,0.576,99.4,113.6,113.1,0.5,0.544,0.572,100.52,109.0,123.0,0.453,0.47850000000000004,0.4235,0.4125,0.699,0.7455,45.5,46.0,22.5,30.5,4.5,11.0,7.5,3.0,12.0,13.0,2,2,0,0,-14.0,-0.025500000000000023,0.01100000000000001,-0.0465000000000001,-0.5,-8.0,-6.5,4.5,-1.0,0,-0.3999999999999915,-0.7999999999999972,0.4,0.0040000000000000036,-0.0040000000000000036,-1.1199999999999903,-0.05400000000000005,-0.32000000000000006,-1.3000000000000007,0.01100000000000001,-0.0020000000000000018,0.013000000000000012,0.009999999999999981,1
108.1,116.4,-8.3,0.534,0.565,101.16,113.6,106.2,7.4,0.542,0.578,97.26,115.0,108.5,0.48,0.4,0.39,0.346,0.734,0.733,47.5,49.0,25.0,26.5,12.5,9.5,6.5,10.5,20.5,21.5,2,2,0,0,6.5,0.07999999999999996,0.04400000000000004,0.0010000000000000009,-1.5,-1.5,3.0,-4.0,-1.0,0,-5.5,10.200000000000003,-15.700000000000001,-0.013000000000000012,-0.008000000000000007,3.8999999999999915,-0.01100000000000001,-0.3900000000000001,-1.0999999999999979,-0.01200000000000001,-0.015000000000000013,-0.02400000000000002,0.022999999999999993,1
103.8,111.7,-8.0,0.497,0.53,99.39,113.0,110.2,2.8,0.534,0.578,96.71,88.5,113.0,0.374,0.4955,0.263,0.4545,0.587,0.8089999999999999,44.5,41.0,20.5,20.5,6.5,8.5,3.0,7.0,16.5,10.0,2,2,0,0,-24.5,-0.1215,-0.1915,-0.22199999999999998,3.5,0.0,-2.0,-4.0,6.5,0,-9.200000000000003,1.5,-10.8,-0.04799999999999993,-0.03700000000000003,2.680000000000007,-0.02200000000000002,-0.2999999999999998,-1.5,0.010000000000000009,0.0030000000000000027,-0.0030000000000000027,0.01100000000000001,1
110.0,112.8,-2.9,0.537,0.567,100.47,114.3,108.9,5.3,0.522,0.553,100.52,109.5,126.0,0.4345,0.49850000000000005,0.399,0.4205,0.6165,0.9199999999999999,45.5,50.5,23.0,27.0,7.0,6.5,3.5,5.5,16.5,10.5,2,1,0,1,-16.5,-0.06400000000000006,-0.021499999999999964,-0.3034999999999999,-5.0,-4.0,0.5,-2.0,6.0,1,-4.299999999999997,3.8999999999999915,-8.2,0.013999999999999901,0.015000000000000013,-0.04999999999999716,-0.02100000000000002,-0.32000000000000006,-0.5999999999999979,-0.08200000000000002,-0.006000000000000005,-0.03600000000000003,0.011999999999999983,1
109.6,114.8,-5.2,0.525,0.561,100.1,112.1,106.6,5.5,0.552,0.582,98.74,112.5,118.0,0.4255,0.47950000000000004,0.3185,0.4215,0.7535000000000001,0.7344999999999999,47.5,51.5,22.0,28.5,10.5,7.0,4.5,3.0,12.5,19.0,2,3,0,0,-5.5,-0.05400000000000005,-0.10299999999999998,0.019000000000000128,-4.0,-6.5,3.5,1.5,-6.5,-1,-2.5,8.200000000000003,-10.7,-0.020999999999999908,-0.027000000000000024,1.3599999999999994,-0.08400000000000007,-0.14000000000000012,-2.1999999999999993,-0.010000000000000009,-0.02200000000000002,-0.026000000000000023,-0.009999999999999981,1
